CustomerID,CustomerName,Email,Phone,Age,AnnualIncome,RiskBand,RegionID
100000,Customer_0,cust0@masked.com,+XXX-XXX-1000,30,25917,D,3102
100001,Customer_1,cust1@masked.com,+XXX-XXX-1001,41,35350,B,3092
100002,Customer_2,cust2@masked.com,+XXX-XXX-1002,43,156814,C,3014
100003,Customer_3,cust3@masked.com,+XXX-XXX-1003,21,135236,C,3106
100004,Customer_4,cust4@masked.com,+XXX-XXX-1004,53,100197,C,3071
100005,Customer_5,cust5@masked.com,+XXX-XXX-1005,46,127554,B,3020
100006,Customer_6,cust6@masked.com,+XXX-XXX-1006,35,162815,B,3102
100007,Customer_7,cust7@masked.com,+XXX-XXX-1007,42,38891,B,3121
100008,Customer_8,cust8@masked.com,+XXX-XXX-1008,45,48483,C,3074
100009,Customer_9,cust9@masked.com,+XXX-XXX-1009,21,51135,B,3087
100010,Customer_10,cust10@masked.com,+XXX-XXX-1010,46,115093,D,3116
100011,Customer_11,cust11@masked.com,+XXX-XXX-1011,41,162754,D,3099
100012,Customer_12,cust12@masked.com,+XXX-XXX-1012,61,32798,A,3103
100013,Customer_13,cust13@masked.com,+XXX-XXX-1013,44,114575,A,3130
100014,Customer_14,cust14@masked.com,+XXX-XXX-1014,59,194991,C,3149
100015,Customer_15,cust15@masked.com,+XXX-XXX-1015,36,34198,B,3052
100016,Customer_16,cust16@masked.com,+XXX-XXX-1016,52,127378,A,3001
100017,Customer_17,cust17@masked.com,+XXX-XXX-1017,36,52104,D,3087
100018,Customer_18,cust18@masked.com,+XXX-XXX-1018,33,27603,B,3037
100019,Customer_19,cust19@masked.com,+XXX-XXX-1019,62,170081,E,3129
100020,Customer_20,cust20@masked.com,+XXX-XXX-1020,52,58661,C,3020
100021,Customer_21,cust21@masked.com,+XXX-XXX-1021,61,181037,D,3057
100022,Customer_22,cust22@masked.com,+XXX-XXX-1022,64,174856,A,3021
100023,Customer_23,cust23@masked.com,+XXX-XXX-1023,44,49340,B,3088
100024,Customer_24,cust24@masked.com,+XXX-XXX-1024,33,90297,C,3048
100025,Customer_25,cust25@masked.com,+XXX-XXX-1025,31,174641,A,3058
100026,Customer_26,cust26@masked.com,+XXX-XXX-1026,35,69411,B,3014
100027,Customer_27,cust27@masked.com,+XXX-XXX-1027,30,128004,B,3050
100028,Customer_28,cust28@masked.com,+XXX-XXX-1028,62,178326,A,3107
100029,Customer_29,cust29@masked.com,+XXX-XXX-1029,61,120148,A,3054
100030,Customer_30,cust30@masked.com,+XXX-XXX-1030,23,125573,D,3063
100031,Customer_31,cust31@masked.com,+XXX-XXX-1031,36,178232,A,3130
100032,Customer_32,cust32@masked.com,+XXX-XXX-1032,64,32206,A,3050
100033,Customer_33,cust33@masked.com,+XXX-XXX-1033,37,64211,C,3134
100034,Customer_34,cust34@masked.com,+XXX-XXX-1034,45,21533,E,3020
100035,Customer_35,cust35@masked.com,+XXX-XXX-1035,50,91132,B,3072
100036,Customer_36,cust36@masked.com,+XXX-XXX-1036,67,193455,A,3017
100037,Customer_37,cust37@masked.com,+XXX-XXX-1037,55,26358,C,3131
100038,Customer_38,cust38@masked.com,+XXX-XXX-1038,57,140190,D,3088
100039,Customer_39,cust39@masked.com,+XXX-XXX-1039,33,74395,D,3059
100040,Customer_40,cust40@masked.com,+XXX-XXX-1040,44,183107,C,3013
100041,Customer_41,cust41@masked.com,+XXX-XXX-1041,58,185531,B,3008
100042,Customer_42,cust42@masked.com,+XXX-XXX-1042,46,192359,C,3089
100043,Customer_43,cust43@masked.com,+XXX-XXX-1043,29,171209,A,3052
100044,Customer_44,cust44@masked.com,+XXX-XXX-1044,39,145774,C,3129
100045,Customer_45,cust45@masked.com,+XXX-XXX-1045,48,188594,C,3083
100046,Customer_46,cust46@masked.com,+XXX-XXX-1046,27,112459,E,3091
100047,Customer_47,cust47@masked.com,+XXX-XXX-1047,65,58941,B,3110
100048,Customer_48,cust48@masked.com,+XXX-XXX-1048,42,193129,A,3007
100049,Customer_49,cust49@masked.com,+XXX-XXX-1049,50,180761,C,3034
100050,Customer_50,cust50@masked.com,+XXX-XXX-1050,57,93588,C,3080
100051,Customer_51,cust51@masked.com,+XXX-XXX-1051,36,106938,D,3049
100052,Customer_52,cust52@masked.com,+XXX-XXX-1052,56,91240,A,3103
100053,Customer_53,cust53@masked.com,+XXX-XXX-1053,25,191751,B,3131
100054,Customer_54,cust54@masked.com,+XXX-XXX-1054,49,114846,C,3001
100055,Customer_55,cust55@masked.com,+XXX-XXX-1055,43,77428,B,3133
100056,Customer_56,cust56@masked.com,+XXX-XXX-1056,26,185117,D,3053
100057,Customer_57,cust57@masked.com,+XXX-XXX-1057,56,63671,B,3105
100058,Customer_58,cust58@masked.com,+XXX-XXX-1058,53,66903,D,3003
100059,Customer_59,cust59@masked.com,+XXX-XXX-1059,69,31715,C,3053
100060,Customer_60,cust60@masked.com,+XXX-XXX-1060,61,172882,D,3145
100061,Customer_61,cust61@masked.com,+XXX-XXX-1061,36,60583,B,3043
100062,Customer_62,cust62@masked.com,+XXX-XXX-1062,54,113497,D,3013
100063,Customer_63,cust63@masked.com,+XXX-XXX-1063,63,40706,B,3094
100064,Customer_64,cust64@masked.com,+XXX-XXX-1064,46,41316,C,3047
100065,Customer_65,cust65@masked.com,+XXX-XXX-1065,57,187667,A,3014
100066,Customer_66,cust66@masked.com,+XXX-XXX-1066,33,79655,B,3039
100067,Customer_67,cust67@masked.com,+XXX-XXX-1067,37,22497,B,3081
100068,Customer_68,cust68@masked.com,+XXX-XXX-1068,52,33562,B,3110
100069,Customer_69,cust69@masked.com,+XXX-XXX-1069,52,121783,E,3052
100070,Customer_70,cust70@masked.com,+XXX-XXX-1070,48,114377,A,3023
100071,Customer_71,cust71@masked.com,+XXX-XXX-1071,49,159829,D,3123
100072,Customer_72,cust72@masked.com,+XXX-XXX-1072,45,29018,E,3040
100073,Customer_73,cust73@masked.com,+XXX-XXX-1073,67,180349,A,3014
100074,Customer_74,cust74@masked.com,+XXX-XXX-1074,42,195149,C,3044
100075,Customer_75,cust75@masked.com,+XXX-XXX-1075,47,185644,B,3064
100076,Customer_76,cust76@masked.com,+XXX-XXX-1076,64,62020,A,3088
100077,Customer_77,cust77@masked.com,+XXX-XXX-1077,58,130005,B,3070
100078,Customer_78,cust78@masked.com,+XXX-XXX-1078,40,77264,E,3008
100079,Customer_79,cust79@masked.com,+XXX-XXX-1079,65,145936,A,3087
100080,Customer_80,cust80@masked.com,+XXX-XXX-1080,44,155242,C,3128
100081,Customer_81,cust81@masked.com,+XXX-XXX-1081,67,113202,C,3135
100082,Customer_82,cust82@masked.com,+XXX-XXX-1082,67,192219,D,3062
100083,Customer_83,cust83@masked.com,+XXX-XXX-1083,28,64944,A,3138
100084,Customer_84,cust84@masked.com,+XXX-XXX-1084,34,44714,C,3080
100085,Customer_85,cust85@masked.com,+XXX-XXX-1085,59,69294,C,3135
